COMBINATION_ID,VARIABLE_ID,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,MEMBER_HIERARCHY
151508_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151508_REF,TYP_RSK,,,TYP_RSK_-1,
151508_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151508_REF,TYP_HDG,,,TYP_HDG_5,
11503_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
11503_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
11503_REF,TYP_RSK,,,TYP_RSK_-1,
11503_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
11503_REF,TYP_HDG,,,TYP_HDG_-1,
67344_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
67344_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S1_MDB,
67344_REF,TYP_RSK,,,TYP_RSK_-1,
67344_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
67344_REF,TYP_HDG,,,TYP_HDG_-1,
67345_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
67345_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
67345_REF,TYP_RSK,,,TYP_RSK_-1,
67345_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
67345_REF,TYP_HDG,,,TYP_HDG_-1,
67343_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
67343_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_1000Z,
67343_REF,TYP_RSK,,,TYP_RSK_-1,
67343_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
67343_REF,TYP_HDG,,,TYP_HDG_-1,
151560_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151560_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151560_REF,TYP_RSK,,,TYP_RSK_1,
151560_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
